# FAL-C model atmosphere
#  Height [km]  T[K]    n_mol[cm^-3]   microturb [km*s^-1]  v_mac [km*s^-1] ne[cm^-1]  nH_tot[cm^-3]
#
51
  -99.329851	 9400.0000     1.8067870	0.0000   3.8317260e+15    1.3266232e+17
  -89.280973	 9140.0000     1.7858770	0.0000   2.9523980e+15    1.3127545e+17
  -79.232412	 8860.0000     1.7604940	0.0000   2.1946030e+15    1.3001302e+17
  -69.183936	 8540.0000     1.7466320	0.0000   1.5318060e+15    1.2917151e+17
  -59.135342	 8220.0000     1.7336410	0.0000   1.0412900e+15    1.2839169e+17
  -49.086711	 7900.0000     1.7169510	0.0000   6.8696670e+14    1.2738726e+17
  -39.037881	 7590.0000     1.6961640	0.0000   4.4469670e+14    1.2596380e+17
  -28.988630	 7280.0000     1.6771510	0.0000   2.7894870e+14    1.2458512e+17
  -18.939106	 6980.0000     1.6519160	0.0000   1.7192260e+14    1.2278319e+17
  -8.8893741	 6720.0000     1.6211510	0.0000   1.0998000e+14    1.2024509e+17
   1.1601170	 6520.0000     1.5793270	0.0000   7.6413400e+13    1.1657617e+17
   11.209828	 6340.0000     1.5415060	0.0000   5.4568580e+13    1.1258856e+17
   21.259900	 6180.0000     1.5066370	0.0000   4.0282440e+13    1.0832849e+17
   36.330393	 5980.0000     1.4488160	0.0000   2.7490410e+13    1.0136866e+17
   51.401381	 5790.0000     1.3957140	0.0000   1.9505190e+13    9.4443597e+16
   76.477576	 5580.0000     1.2918800	0.0000   1.3293380e+13    8.2082772e+16
   101.54402	 5410.0000     1.1955290	0.0000   9.8160850e+12    7.0344916e+16
   126.60218	 5270.0000     1.0931890	0.0000   7.5848320e+12    5.9643175e+16
   151.65180	 5150.0000     0.99500500  0.0000    5.9848600e+12   5.0086136e+16
   176.69133	 5060.0000     0.89296980  0.0000    4.8034010e+12   4.1658916e+16
   201.71909	 4990.0000     0.80437060  0.0000    3.8805550e+12   3.4329033e+16
   251.01175	 4880.0000     0.62741180  0.0000    2.5573460e+12   2.3001407e+16
   300.22976	 4780.0000     0.57280150  0.0000    1.6800470e+12   1.5203716e+16
   349.37865	 4690.0000     0.52177470  0.0000    1.0997210e+12   9.9269722e+15
   398.46613	 4610.0000     0.55558160  0.0000    7.1672480e+11   6.4128602e+15
   447.49702	 4540.0000     0.65365590  0.0000    4.6489300e+11   4.1029275e+15
   487.03405	 4510.0000     0.72253540  0.0000    3.2943580e+11   2.8434876e+15
   521.74695	 4500.0000     0.80438940  0.0000    2.4410170e+11   2.0524678e+15
   556.43957	 4520.0000     0.88973920  0.0000    1.8181870e+11   1.4718913e+15
   595.91877	 4560.0000     0.99473710  0.0000    1.3078900e+11   1.0058157e+15
   644.73555	 4680.0000     1.1681330	0.0000   9.1148730e+10    6.2093490e+14
   698.12018	 4900.0000     1.3686570	0.0000   7.5440270e+10    3.6574907e+14
   747.01871	 5160.0000     1.5335420	0.0000   8.3632940e+10    2.2917763e+14
   796.08353	 5380.0000     1.7722300	0.0000   9.7421370e+10    1.4804283e+14
   845.27625	 5570.0000     2.0008380	0.0000   1.1116590e+11    9.8041853e+13
   903.96892	 5760.0000     2.2545450	0.0000   1.2298670e+11    6.1568377e+13
   971.99781	 5950.0000     2.5956220	0.0000   1.3082370e+11    3.6628191e+13
   1062.1990	 6180.0000     3.0532860	0.0000   1.3409070e+11    1.8567279e+13
   1152.9508	 6370.0000     3.5526330	0.0000   1.2801170e+11    9.7781399e+12
   1248.7429	 6570.0000     4.0603000	0.0000   1.2208730e+11    5.2435102e+12
   1340.7824	 6740.0000     4.5044050	0.0000   1.1377060e+11    3.0461202e+12
   1444.3728	 6910.0000     4.9260450	0.0000   1.0318970e+11    1.7373802e+12
   1546.2739	 7080.0000     5.2968490	0.0000   9.6129620e+10    1.0478852e+12
   1631.0128	 7220.0000     5.5905750	0.0000   9.1856730e+10    7.1157116e+11
   1723.4118	 7410.0000     5.9321020	0.0000   8.8383770e+10    4.7669515e+11
   1803.0303	 7600.0000     6.2074030	0.0000   8.4451000e+10    3.4514914e+11
   1864.9530	 7780.0000     6.4316740	0.0000   8.0953570e+10    2.7192713e+11
   1913.7993	 7970.0000     6.6143890	0.0000   7.8464230e+10    2.2607512e+11
   1969.7468	 8273.0000     6.8231600	0.0000   7.5617580e+10    1.8306511e+11
   2023.7379	 8635.0000     7.0444140	0.0000   7.1686470e+10    1.5048509e+11
   2071.8075	 8988.0000     7.2682740	0.0000   6.6516160e+10    1.2817307e+11
